enactivite;cadre;contrat;salaire
1;1;CDD;24.2
1;1;CDI;31.2
0;NC;NC;NC
0;NC;NC;NC
1;0;CDI;37.9
1;1;CDI;27.5
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;36.6
1;0;CDI;NC
0;NC;NC;NC
1;1;CDI;29.1
0;NC;NC;NC
1;1;CDD;NC
1;1;CDI;28
1;1;CDI;NC
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;39.1
0;NC;NC;NC
0;NC;NC;NC
1;1;CDD;NC
1;1;CDI;43.8
0;NC;NC;NC
1;1;CDI;NC
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
1;0;CDI;32.9
1;1;CDI;NC
1;1;CDD;NC
1;1;CDI;33.2
0;NC;NC;NC
1;1;CDD;34.4
1;1;CDI;35.9
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;NC
1;1;CDI;32.3
1;0;CDI;26.4
1;1;CDI;NC
1;1;CDD;33.4
1;1;CDI;49.8
0;NC;NC;NC
1;1;CDI;35.2
1;1;CDI;NC
1;0;CDI;26.5
1;1;CDD;32.1
1;1;CDD;29
1;1;CDI;30.1
1;1;CDI;NC
0;NC;NC;NC
1;1;CDI;31.1
1;1;CDI;NC
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;31.6
1;1;CDI;33.6
1;1;CDI;40.2
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;41.5
0;NC;NC;NC
1;1;CDI;32.1
1;0;CDI;26.3
0;NC;NC;NC
1;1;CDI;32.8
1;1;CDI;48.6
1;1;CDD;30.6
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;NC
1;1;CDD;25.2
1;1;CDI;35.6
1;1;CDI;25.1
1;1;CDD;27.2
0;NC;NC;NC
1;1;CDI;48.2
0;NC;NC;NC
0;NC;NC;NC
1;1;CDD;31.6
1;1;CDI;25.4
0;NC;NC;NC
1;1;CDI;NC
1;1;CDI;31.5
0;NC;NC;NC
1;1;CDI;28.6
1;1;CDI;25.9
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;26.4
1;1;CDI;NC
1;1;CDI;32
0;NC;NC;NC
1;1;CDI;26.3
1;1;CDI;36.7
1;1;CDI;NC
1;1;CDI;25.6
1;1;CDI;42.6
1;1;CDI;NC
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;26.5
0;NC;NC;NC
1;1;CDI;35.2
0;NC;NC;NC
1;1;CDI;25.8
1;1;CDI;34.6
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;NC
1;1;CDI;48.9
0;NC;NC;NC
1;1;CDI;37.6
1;1;CDI;25.8
1;1;CDI;31.8
1;1;CDI;NC
0;NC;NC;NC
0;NC;NC;NC
0;NC;NC;NC
1;1;CDI;35.9
0;NC;NC;NC
1;1;CDI;NC
